signal_id,latitude,longitude,google_earth_url,verified,actual_type,notes
551,41.3859007,2.1700047,"https://earth.google.com/web/@41.3859007,2.1700047,100a,500d,35y,0h,0t,0r",,,
552,41.3865427,2.1694546,"https://earth.google.com/web/@41.3865427,2.1694546,100a,500d,35y,0h,0t,0r",,,
553,41.3865197,2.169105,"https://earth.google.com/web/@41.3865197,2.169105,100a,500d,35y,0h,0t,0r",,,
554,41.3871108,2.1689522,"https://earth.google.com/web/@41.3871108,2.1689522,100a,500d,35y,0h,0t,0r",,,
555,41.3872592,2.1688251,"https://earth.google.com/web/@41.3872592,2.1688251,100a,500d,35y,0h,0t,0r",,,
556,41.3861433,2.164331,"https://earth.google.com/web/@41.3861433,2.164331,100a,500d,35y,0h,0t,0r",,,
557,41.3857352,2.1644509,"https://earth.google.com/web/@41.3857352,2.1644509,100a,500d,35y,0h,0t,0r",,,
558,41.3852602,2.1637713,"https://earth.google.com/web/@41.3852602,2.1637713,100a,500d,35y,0h,0t,0r",,,
559,41.3851197,2.1636664,"https://earth.google.com/web/@41.3851197,2.1636664,100a,500d,35y,0h,0t,0r",,,
560,41.3912401,2.1936474,"https://earth.google.com/web/@41.3912401,2.1936474,100a,500d,35y,0h,0t,0r",,,
561,41.388734,2.1671442,"https://earth.google.com/web/@41.388734,2.1671442,100a,500d,35y,0h,0t,0r",,,
562,41.3885583,2.1670666,"https://earth.google.com/web/@41.3885583,2.1670666,100a,500d,35y,0h,0t,0r",,,
563,41.3885808,2.1669631,"https://earth.google.com/web/@41.3885808,2.1669631,100a,500d,35y,0h,0t,0r",,,
564,41.388498,2.1668165,"https://earth.google.com/web/@41.388498,2.1668165,100a,500d,35y,0h,0t,0r",,,
565,41.3948505,2.1917457,"https://earth.google.com/web/@41.3948505,2.1917457,100a,500d,35y,0h,0t,0r",,,
566,41.3948784,2.1917233,"https://earth.google.com/web/@41.3948784,2.1917233,100a,500d,35y,0h,0t,0r",,,
567,41.3945112,2.1917488,"https://earth.google.com/web/@41.3945112,2.1917488,100a,500d,35y,0h,0t,0r",,,
568,41.3941206,2.1900985,"https://earth.google.com/web/@41.3941206,2.1900985,100a,500d,35y,0h,0t,0r",,,
569,41.3937768,2.1905413,"https://earth.google.com/web/@41.3937768,2.1905413,100a,500d,35y,0h,0t,0r",,,
570,41.3940446,2.1903916,"https://earth.google.com/web/@41.3940446,2.1903916,100a,500d,35y,0h,0t,0r",,,
571,41.3939992,2.1904021,"https://earth.google.com/web/@41.3939992,2.1904021,100a,500d,35y,0h,0t,0r",,,
572,41.4226724,2.187015,"https://earth.google.com/web/@41.4226724,2.187015,100a,500d,35y,0h,0t,0r",,,
573,41.4228849,2.1866405,"https://earth.google.com/web/@41.4228849,2.1866405,100a,500d,35y,0h,0t,0r",,,
574,41.3710511,2.1436,"https://earth.google.com/web/@41.3710511,2.1436,100a,500d,35y,0h,0t,0r",,,
575,41.3697474,2.1418657,"https://earth.google.com/web/@41.3697474,2.1418657,100a,500d,35y,0h,0t,0r",,,
576,41.3819028,2.1587676,"https://earth.google.com/web/@41.3819028,2.1587676,100a,500d,35y,0h,0t,0r",,,
577,41.3840951,2.1582473,"https://earth.google.com/web/@41.3840951,2.1582473,100a,500d,35y,0h,0t,0r",,,
578,41.3841,2.1586652,"https://earth.google.com/web/@41.3841,2.1586652,100a,500d,35y,0h,0t,0r",,,
579,41.3849655,2.1598169,"https://earth.google.com/web/@41.3849655,2.1598169,100a,500d,35y,0h,0t,0r",,,
580,41.3846191,2.1598054,"https://earth.google.com/web/@41.3846191,2.1598054,100a,500d,35y,0h,0t,0r",,,
581,41.3858024,2.1605061,"https://earth.google.com/web/@41.3858024,2.1605061,100a,500d,35y,0h,0t,0r",,,
