road_id,noise_day,noise_evening,noise_night,road_category,dist_to_trunk,dist_to_primary,dist_to_secondary,dist_to_tertiary,dist_to_residential,dist_to_living_street,dist_to_main
144806897_144806877_0,1,1,0,5,3766.421038393804,1141.4542993978405,703.3594277251423,496.89164044800873,0.0,229.61644693708578,703.3594277251423
144806897_312559196_0,2,2,1,5,3721.7824307348706,1118.9521087156108,794.9578441043165,496.89164044800873,0.0,376.9583870809042,794.9578441043165
144806897_144806892_0,1,1,0,5,3766.421038393804,1141.4542993978405,827.0321799612776,478.01983000866915,0.0,391.0598308146255,827.0321799612776
144806903_144806867_0,1,1,1,5,3951.1179416337686,1367.2406563311686,800.1249099400018,653.6456763909274,0.0,316.27434774060254,800.1249099400018
144806903_1645798451_0,1,1,1,5,3994.99778656423,1387.6490521609776,836.1648412942822,648.057185849632,0.0,354.263150557692,836.1648412942822
144806903_144806887_0,1,1,0,5,3930.8616346778995,1217.053542347156,836.1648412942822,465.082584676599,0.0,354.263150557692,836.1648412942822
144806919_144806930_0,1,1,0,5,3846.5741261698968,1000.5468867886865,844.5874518557774,216.16592955580884,0.0,551.1675274264308,844.5874518557774
144806919_144806930_1,1,1,0,5,4045.0124255707083,1097.229123349834,844.0592954656425,218.11182895908598,0.0,651.1182090893519,844.0592954656425
144806919_38307909_0,1,1,1,5,4047.4504214541466,1024.7125178720582,844.5874518557774,117.65234398577238,0.0,788.1860049712491,844.5874518557774
144806930_144806919_0,1,1,0,5,3846.5741261698968,1000.5468867886865,844.5874518557774,216.16592955580884,0.0,551.1675274264308,844.5874518557774
144806930_144806919_1,1,1,0,5,4045.0124255707083,1097.229123349834,844.0592954656425,218.11182895908598,0.0,651.1182090893519,844.0592954656425
144806930_38304923_0,1,1,1,5,4045.2007166679837,1203.7035757766644,846.743178048732,363.3671654763843,0.0,591.1470797433506,846.743178048732
144806946_1652843355_0,1,1,1,5,3458.4331190701705,1225.8210676981614,263.44739332194064,272.2996728134482,0.0,203.98699159120025,263.44739332194064
144806946_855357040_0,1,1,1,5,3397.9648881765556,1251.1302908635657,140.43044449493854,197.1983170187828,0.0,276.91164493792303,140.43044449493854
144806946_1652843351_0,1,1,1,5,3458.4331190701705,1251.1302908635657,261.9859251334806,272.2996728134482,0.0,159.50700091559952,261.9859251334806
144806959_301351637_0,1,1,0,3,3299.7662376109893,1257.9978780399024,0.0,83.88352527530004,0.0,495.6104973688248,0.0
144806959_26965442_0,2,2,1,3,3334.4473412146417,1293.3771668058712,0.0,116.04480012583736,0.0,406.2340826496716,0.0
144806959_1654991557_0,2,2,1,5,3334.4473412146417,1283.6549429643535,0.0,116.04480012583736,0.0,449.84466684903936,0.0
144806966_1652843351_0,2,2,1,5,3617.232056149841,1458.0512829527934,138.5328896473426,402.8969637497164,0.0,159.50700091559952,138.5328896473426
144806966_26965442_0,2,2,1,5,3574.323837404164,1497.7063890826505,0.0,348.03125680788816,0.0,282.1595662045089,0.0
144806966_855357040_0,1,1,0,5,3397.9648881765556,1270.3753807764149,138.35864553702237,197.1983170187828,0.0,282.1595662045089,138.35864553702237
145792741_615969736_0,2,2,1,6,22968.56572056011,1709.5184871334754,388.3857691214412,450.77239946930524,52.98066039977127,0.0,388.3857691214412
145792741_615969736_1,2,2,1,6,22968.56572056011,1710.4995323183691,388.3857691214412,450.77239946930524,52.98066039977127,0.0,388.3857691214412
145792742_4897988701_0,2,2,1,5,22730.203972464584,1571.6000516552438,375.6938109043166,245.99721108117313,0.0,148.9073564279541,375.6938109043166
145792742_248070951_0,1,1,1,5,22861.977426481168,1475.2546948609488,506.26006891642504,421.61125311661317,0.0,148.7979070273332,506.26006891642504
145792742_240485592_0,2,2,1,5,22861.977426481168,1571.6000516552438,443.808505539895,421.61125311661317,0.0,52.99571438570055,443.808505539895
146677696_26906418_0,3,3,2,2,17691.66696831248,0.0,232.70421895640771,806.5734324218204,0.0,1006.0778501108784,0.0
148082827_1024993400_0,1,1,1,5,17388.867720311384,3189.7231357107985,340.5657215934003,698.3050833006945,0.0,345.0006342086391,340.5657215934003
148082827_153926765_0,3,3,2,5,17348.15943921648,3189.7231357107985,523.5689289648899,630.6957395151431,0.0,298.479048940212,523.5689289648899
148082827_32351089_0,2,2,1,5,17388.867720311384,3185.82657409759,530.2555995311935,698.3050833006945,0.0,345.0006342086391,530.2555995311935
148082834_153930890_0,1,1,0,5,17463.852953300717,3433.9172275187984,233.25411093807014,639.8115029975364,0.0,498.1902391361226,233.25411093807014
148082834_1024993400_0,1,1,0,5,17477.313363572,3374.131792946619,233.25411093807014,702.6305404784918,0.0,451.2724180992757,233.25411093807014
148082834_153926229_0,1,1,0,5,17522.575491847416,3264.2650653430937,54.284954018312256,703.0487642123298,0.0,536.7835618277478,54.284954018312256
148260764_148260838_0,1,1,1,5,20699.342908142633,1777.4250559044883,99.09987910299596,99.70079283547605,0.0,211.4955136989588,99.09987910299596
