street_id,road_category,signal_count_50m,poi_count_50m,tree_count_50m,transport_count_50m,signal_count_100m,poi_count_100m,tree_count_100m,transport_count_100m,noise_day,noise_evening,noise_night
3605,residential,1,1,5,1,1,1,34,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3606,primary,13,3,24,1,19,8,68,5,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3607,residential,3,1,44,1,4,3,165,1,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A)
3608,secondary,1,1,1,1,2,1,1,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3609,residential,7,1,5,1,9,3,71,2,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3610,residential,1,1,1,1,1,1,1,2,45 - 50 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3611,living_street,1,2,1,2,2,11,1,5,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3612,living_street,2,3,14,1,4,6,67,4,55 - 60 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3613,living_street,1,1,1,1,1,2,1,1,50 - 55 dB(A),45 - 50 dB(A),40 - 45 dB(A)
3614,residential,1,1,1,1,1,1,1,2,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3615,living_street,1,1,5,1,2,4,10,3,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3616,secondary,1,1,1,1,1,1,1,1,60 - 65 dB(A),60 - 65 dB(A),60 - 65 dB(A)
3617,residential,4,2,1,1,4,4,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3618,residential,4,1,73,1,7,3,192,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3619,residential,1,1,1,1,3,1,4,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3620,secondary,4,5,1,1,6,12,1,2,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3621,living_street,1,6,1,1,1,22,1,1,60 - 65 dB(A),55 - 60 dB(A),55 - 60 dB(A)
3622,primary,9,1,71,1,10,2,126,4,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3623,residential,1,1,1,1,1,1,2,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3624,living_street,1,1,88,1,6,3,160,2,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3625,residential,1,2,1,1,3,3,1,1,55 - 60 dB(A),55 - 60 dB(A),45 - 50 dB(A)
3626,tertiary,5,1,1,1,10,1,1,1,70 - 75 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3627,living_street,1,1,1,1,1,1,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3628,residential,1,1,3,2,2,4,3,6,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3629,residential,16,6,118,5,17,13,215,10,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3630,residential,8,2,1,1,19,6,1,6,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3631,residential,2,2,1,1,2,8,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3632,living_street,1,3,1,2,2,12,1,6,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3633,living_street,1,3,1,1,1,7,1,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3634,residential,1,1,1,4,3,4,1,8,65 - 70 dB(A),60 - 65 dB(A),55 - 60 dB(A)
3635,residential,4,1,69,3,14,3,141,5,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3636,residential,1,7,1,1,1,19,1,1,55 - 60 dB(A),55 - 60 dB(A),50 - 55 dB(A)
3637,residential,1,1,1,1,3,1,1,1,50 - 55 dB(A),50 - 55 dB(A),45 - 50 dB(A)
3638,residential,3,10,1,1,4,33,1,1,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3639,tertiary,10,2,63,1,11,5,136,3,65 - 70 dB(A),65 - 70 dB(A),60 - 65 dB(A)
3640,residential,6,5,58,1,7,7,99,1,60 - 65 dB(A),60 - 65 dB(A),55 - 60 dB(A)
